sample_index,task,doc_id,mode,prompt_tokens,generated_tokens,prefill_s,decode_s,decode_steps,decode_tps,ptq_routes,fp_routes,avg_route_score
0,mmlu_abstract_algebra,0,auto,46,8,0.1965445070527494,0.6376734030782245,7,10.977406249357553,7,0,0.8041294642857143
0,mmlu_abstract_algebra,0,ptq,46,8,0.11582885100506246,0.5710990380030125,7,12.25706844906833,7,0,0.8041294642857143
0,mmlu_abstract_algebra,0,fp,46,8,0.11573297902941704,0.7047345710452646,7,9.932817670087587,0,7,0.8041294642857143
1,mmlu_abstract_algebra,1,auto,59,8,0.11873545899288729,0.5689345190185122,7,12.303700629864982,7,0,0.7806919642857143
1,mmlu_abstract_algebra,1,ptq,59,8,0.1185612190165557,0.5710402291151695,7,12.258330749913268,7,0,0.7806919642857143
1,mmlu_abstract_algebra,1,fp,59,8,0.11854771501384676,0.7076717180316336,7,9.891592134655708,0,7,0.8002232142857143
2,mmlu_abstract_algebra,2,auto,66,8,0.12440086505375803,0.5699107900145464,7,12.282624092485303,7,0,0.7857142857142857
2,mmlu_abstract_algebra,2,ptq,66,8,0.1239697280107066,0.5639464120613411,7,12.412526882498549,7,0,0.7857142857142857
2,mmlu_abstract_algebra,2,fp,66,8,0.12408435199176893,0.7060016089817509,7,9.914991567931313,0,7,0.7857142857142857
3,mmlu_abstract_algebra,3,auto,76,8,0.12401379202492535,0.5614133179769851,7,12.468532141745454,7,0,0.7589285714285714
3,mmlu_abstract_algebra,3,ptq,76,8,0.12407424201956019,0.5587181090377271,7,12.52867928704872,7,0,0.7589285714285714
3,mmlu_abstract_algebra,3,fp,76,8,0.12389427400194108,0.7071832889341749,7,9.898423944024453,0,7,0.7589285714285714
4,mmlu_abstract_algebra,4,auto,89,8,0.1282653040252626,0.5604651960311458,7,12.489624778790013,7,0,0.7957589285714286
4,mmlu_abstract_algebra,4,ptq,89,8,0.1278725669835694,0.559801004070323,7,12.504443452410547,7,0,0.7957589285714286
4,mmlu_abstract_algebra,4,fp,89,8,0.12838828196981922,0.70855201309314,7,9.879302959625974,0,7,0.7957589285714286
5,mmlu_abstract_algebra,5,auto,84,8,0.12667921895626932,0.56291747209616,7,12.43521536813167,7,0,0.7712053571428571
5,mmlu_abstract_algebra,5,ptq,84,8,0.1264936810475774,0.5610306498710997,7,12.4770366852654,7,0,0.7712053571428571
5,mmlu_abstract_algebra,5,fp,84,8,0.126447762013413,0.7078766609192826,7,9.888728342744715,0,7,0.7712053571428571
6,mmlu_abstract_algebra,6,auto,77,8,0.1246201700414531,0.5615999700385146,7,12.464388129365355,7,0,0.7706473214285714
6,mmlu_abstract_algebra,6,ptq,77,8,0.12410304899094626,0.5613007719512098,7,12.471032198417259,7,0,0.7706473214285714
6,mmlu_abstract_algebra,6,fp,77,8,0.12418052100110799,0.7071713250479661,7,9.898591405025089,0,7,0.7890625
7,mmlu_abstract_algebra,7,auto,60,8,0.11950056202476844,0.5604898619349115,7,12.48907513837047,7,0,0.7678571428571429
7,mmlu_abstract_algebra,7,ptq,60,8,0.11904059298103675,0.5701265220413916,7,12.277976430452389,7,0,0.7678571428571429
7,mmlu_abstract_algebra,7,fp,60,8,0.11924654699396342,0.7061646750662476,7,9.912702018609622,0,7,0.7678571428571429
8,mmlu_abstract_algebra,8,auto,43,8,0.11558950500329956,0.5633858859655447,7,12.424876402438137,7,0,0.8041294642857143
8,mmlu_abstract_algebra,8,ptq,43,8,0.11487372603733093,0.5639235549606383,7,12.413029990365624,7,0,0.8041294642857143
8,mmlu_abstract_algebra,8,fp,43,8,0.11511139199137688,0.7050600729417056,7,9.928232031058098,0,7,0.8041294642857143
9,mmlu_abstract_algebra,9,auto,57,8,0.11794395098695531,0.5639749870169908,7,12.411897976229064,7,0,0.7879464285714286
9,mmlu_abstract_algebra,9,ptq,57,8,0.11770967801567167,0.5632963949465193,7,12.426850345215856,7,0,0.7879464285714286
9,mmlu_abstract_algebra,9,fp,57,8,0.11774116702144966,0.7058041841373779,7,9.91776495141536,0,7,0.7879464285714286
10,mmlu_abstract_algebra,10,auto,81,8,0.12566040799720213,0.5614011259167455,7,12.468802923345194,7,0,0.7712053571428571
10,mmlu_abstract_algebra,10,ptq,81,8,0.12546274298802018,0.5595593290054239,7,12.50984415261558,7,0,0.7712053571428571
10,mmlu_abstract_algebra,10,fp,81,8,0.12537714297650382,0.7071258980431594,7,9.899227307854527,0,7,0.7712053571428571
