mode,step,route_score
auto,0,0.6875
auto,1,0.7265625
auto,2,0.7109375
auto,3,0.78515625
auto,4,0.765625
auto,5,0.7578125
auto,6,0.7421875
auto,7,0.79296875
auto,8,0.79296875
auto,9,0.80859375
auto,10,0.80859375
auto,11,0.7890625
auto,12,0.828125
auto,13,0.75390625
auto,14,0.7109375
ptq,0,0.6875
ptq,1,0.7265625
ptq,2,0.7109375
ptq,3,0.78515625
ptq,4,0.765625
ptq,5,0.7578125
ptq,6,0.7421875
ptq,7,0.79296875
ptq,8,0.79296875
ptq,9,0.80859375
ptq,10,0.80859375
ptq,11,0.7890625
ptq,12,0.828125
ptq,13,0.75390625
ptq,14,0.7109375
fp,0,0.6875
fp,1,0.72265625
fp,2,0.7421875
fp,3,0.74609375
fp,4,0.77734375
fp,5,0.765625
fp,6,0.80078125
fp,7,0.80078125
fp,8,0.8046875
fp,9,0.8125
fp,10,0.7734375
fp,11,0.82421875
fp,12,0.7421875
fp,13,0.70703125
fp,14,0.80859375
