seq_len,batch_size,exit_layer,mode,median_ms,mean_ms,median_prefill_tps,mean_prefill_tps
1,1,1,full_fp,99.45200104266405,99.32772842003033,10.055101853315236,10.067682165963449
1,1,1,fp_tail,99.20351300388575,99.20306400163099,10.08028818456087,10.080333808878716
1,1,1,ptq_tail,68.35303700063378,68.42573119793087,14.629927855154818,14.61438529765012
1,1,1,ptq_tail_speedup_vs_fp_tail,,,1.4513402382247613,
1,1,3,full_fp,99.13906001020223,99.13595500402153,10.086841653502583,10.087157580309125
1,1,3,fp_tail,99.33215304045007,99.24820760497823,10.067233714271548,10.075748712562548
1,1,3,ptq_tail,68.50616098381579,68.46783579094335,14.597227251374436,14.605398117933149
1,1,3,ptq_tail_speedup_vs_fp_tail,,,1.4499740112997537,
1,1,8,full_fp,99.1162690334022,99.08147281967103,10.089161040383791,10.092704231597434
1,1,8,fp_tail,99.18075200403109,99.2520316154696,10.082601510818915,10.075360511251622
1,1,8,ptq_tail,68.59758496284485,68.59199800528586,14.577772680213732,14.578960069408355
1,1,8,ptq_tail_speedup_vs_fp_tail,,,1.445834456967418,
1,1,16,full_fp,99.0466340444982,99.07302140491083,10.096254250808107,10.093565188781374
1,1,16,fp_tail,99.12250598426908,99.14227039553225,10.088526213801554,10.08651502543222
1,1,16,ptq_tail,68.28665896318853,68.34071618504822,14.644148874512556,14.632565413746466
1,1,16,ptq_tail_speedup_vs_fp_tail,,,1.4515647344483982,
1,1,24,full_fp,99.05773401260376,99.02428640052676,10.095122909562654,10.098532757461815
1,1,24,fp_tail,99.28762901108712,99.42234760383144,10.071748212341069,10.058100860630482
1,1,24,ptq_tail,82.98084099078551,82.98723478801548,12.050974514840643,12.050046040869095
1,1,24,ptq_tail_speedup_vs_fp_tail,,,1.1965126868515634,
16,1,1,full_fp,103.66929502924904,103.70750441215932,154.33692295762012,154.28005996954698
16,1,1,fp_tail,103.81301096640527,103.85229538660496,154.12326307708895,154.06496255511465
16,1,1,ptq_tail,105.7196719921194,105.809532396961,151.34364019964684,151.21510923962407
16,1,1,ptq_tail_speedup_vs_fp_tail,,,0.981964936233852,
16,1,3,full_fp,103.79294399172068,103.7984931957908,154.15306074444024,154.1448195189102
16,1,3,fp_tail,103.85528102051467,103.77449019579217,154.06053349217262,154.18047315686803
16,1,3,ptq_tail,105.37594300694764,105.3822158020921,151.8373126107644,151.8282746117999
16,1,3,ptq_tail_speedup_vs_fp_tail,,,0.985569173161917,
16,1,8,full_fp,103.69994497159496,103.68174819741398,154.29130656127785,154.3183856191872
16,1,8,fp_tail,103.80756302038208,103.81249119527638,154.131351651695,154.12403474552224
16,1,8,ptq_tail,104.58215000107884,104.58543960703537,152.98977884691553,152.98496674219356
16,1,8,ptq_tail_speedup_vs_fp_tail,,,0.9925935068203439,
16,1,16,full_fp,104.93099299492314,104.77702941279858,152.48116446181086,152.70522641907988
16,1,16,fp_tail,104.0130690089427,103.966598585248,153.82682342181803,153.89558009710888
16,1,16,ptq_tail,103.53481100173667,103.52720780065283,154.53739515428893,154.54874462381767
16,1,16,ptq_tail_speedup_vs_fp_tail,,,1.0046192966653313,
16,1,24,full_fp,103.78109099110588,103.91674381680787,154.1706668064533,153.9694125540152
16,1,24,fp_tail,103.95655198954046,103.94217097200453,153.91045291315388,153.93174733967592
16,1,24,ptq_tail,102.87705494556576,102.89788779336959,155.52544742329482,155.49395952742762
16,1,24,ptq_tail_speedup_vs_fp_tail,,,1.0104930787972681,
128,1,1,full_fp,143.17302004201338,143.21204241132364,894.0231893022797,893.7795861633433
128,1,1,fp_tail,143.20229802979156,143.22051360504702,893.8404045259881,893.7267209708523
128,1,1,ptq_tail,715.9682349883951,716.008994798176,178.77888116373586,178.76870392679888
128,1,1,ptq_tail_speedup_vs_fp_tail,,,0.20001208298314055,
128,1,3,full_fp,143.16269801929593,143.31057521048933,894.087648325458,893.1650704213438
128,1,3,fp_tail,143.212745024357,143.19089440396056,893.775201210132,893.9115893703058
128,1,3,ptq_tail,678.7014150177129,678.7598208058625,188.5954517962209,188.57922357282592
128,1,3,ptq_tail_speedup_vs_fp_tail,,,0.21100994024098124,
128,1,8,full_fp,143.21301801828668,143.16994480323046,893.773497487888,894.0423925979736
128,1,8,fp_tail,143.19119096035138,143.22312800213695,893.9097380329931,893.7104068701125
128,1,8,ptq_tail,586.5941420197487,586.5065869991668,218.20879349267463,218.24136819145704
128,1,8,ptq_tail_speedup_vs_fp_tail,,,0.2441060704549801,
128,1,16,full_fp,143.28551798826084,143.24933100724593,893.3212637057071,893.5469303764178
128,1,16,fp_tail,143.19575199624524,143.36267039179802,893.881265439748,892.8405117607455
128,1,16,ptq_tail,438.84687998797745,438.8998009962961,291.6734875806948,291.63831860812394
128,1,16,ptq_tail_speedup_vs_fp_tail,,,0.32630003430847726,
128,1,24,full_fp,143.090586992912,143.165840592701,894.5382270766734,894.0680225819581
128,1,24,fp_tail,143.0885040317662,143.15089359879494,894.5512490058845,894.161376028445
128,1,24,ptq_tail,291.30227596033365,291.3514493848197,439.40611029564917,439.3319486491945
128,1,24,ptq_tail_speedup_vs_fp_tail,,,0.4912028358173571,
