mode,exit_layer,batch_size,iters,tokens,elapsed_s,tokens_per_s,ms_per_token
full_fp,3,1,4,4,0.3468980800244026,11.530764308982683,86.72452000610065
full_fp,3,2,4,8,0.34672298398800194,23.073174751740236,43.34037299850024
full_fp,3,4,4,16,0.34935627202503383,45.798519394704,21.834767001564614
full_fp,3,8,4,32,0.3507619589800015,91.22996146176861,10.961311218125047
full_fp,3,16,4,64,0.35076543100876734,182.45811685587776,5.48070985951199
shared_fp_plus_fp_tail,3,1,4,4,0.3466225120355375,11.539931369460215,86.65562800888438
shared_fp_plus_fp_tail,3,2,4,8,0.34782673901645467,22.999956882617766,43.47834237705683
shared_fp_plus_fp_tail,3,4,4,16,0.3488745510112494,45.86175733833931,21.80465943820309
shared_fp_plus_fp_tail,3,8,4,32,0.3517354689538479,90.9774612585312,10.991733404807746
shared_fp_plus_fp_tail,3,16,4,64,0.35177762497914955,181.933117559121,5.496525390299212
shared_fp_plus_ptq_tail,3,1,4,4,0.18422765599098057,21.712266697872074,46.05691399774514
shared_fp_plus_ptq_tail,3,2,4,8,0.18585140205686912,43.045142040693676,23.23142525710864
shared_fp_plus_ptq_tail,3,4,4,16,0.18654445395804942,85.77044055996497,11.659028372378089
shared_fp_plus_ptq_tail,3,8,4,32,0.23681148799369112,135.1285795765639,7.400358999802847
shared_fp_plus_ptq_tail,3,16,4,64,0.3753899130388163,170.4893972294408,5.865467391231505
all_ptq_tail,3,1,4,4,0.1867436119937338,21.41974205861575,46.68590299843345
all_ptq_tail,3,2,4,8,0.1877617579884827,42.607185220809015,23.47021974856034
all_ptq_tail,3,4,4,16,0.18857244600076228,84.84802705446862,11.785777875047643
all_ptq_tail,3,8,4,32,0.22964116599177942,139.3478380141369,7.176286437243107
all_ptq_tail,3,16,4,64,0.37738825497217476,169.5866237403673,5.896691483940231
