policy,prompt_index,route,score
all_fp,0,fp,0.0
all_fp,1,fp,0.0
all_fp,2,fp,0.0
all_fp,3,fp,0.0
all_fp,4,fp,0.0
all_fp,5,fp,0.0
all_fp,6,fp,0.0
all_fp,7,fp,0.0
all_ptq,0,ptq,1.0
all_ptq,1,ptq,1.0
all_ptq,2,ptq,1.0
all_ptq,3,ptq,1.0
all_ptq,4,ptq,1.0
all_ptq,5,ptq,1.0
all_ptq,6,ptq,1.0
all_ptq,7,ptq,1.0
random,0,fp,0.32383276483316237
random,1,fp,0.15084917392450192
random,2,ptq,0.6509344730398537
random,3,fp,0.07243628666754276
random,4,ptq,0.5358820043066892
random,5,fp,0.36568891691258554
random,6,fp,0.057998924774706806
random,7,ptq,0.5074357331894203
ptq_heavy,0,ptq,0.32383276483316237
ptq_heavy,1,ptq,0.15084917392450192
ptq_heavy,2,fp,0.6509344730398537
ptq_heavy,3,ptq,0.07243628666754276
ptq_heavy,4,ptq,0.5358820043066892
ptq_heavy,5,ptq,0.36568891691258554
ptq_heavy,6,ptq,0.057998924774706806
ptq_heavy,7,ptq,0.5074357331894203
