mode,execution_mode,enforce_eager,exit_layer,batch_size,prompt_tokens,max_new_tokens,warmup,iters,total_output_tokens,total_s,mean_batch_latency_s,output_tps,load_s,phase_trace,model_path
full_fp,eager,True,3,1,85,32,1,3,96,8.587083874153905,2.862361291384635,11.179581032036792,85.56591310200747,all_fp,/models/Llama-3.1-8B-Instruct-riveredge-fp-hqq
full_fp,eager,True,3,2,85,32,1,3,192,8.805147142964415,2.9350490476548052,21.805427766577864,85.56591310200747,all_fp,/models/Llama-3.1-8B-Instruct-riveredge-fp-hqq
full_fp,eager,True,3,4,85,32,1,3,384,9.24372676096391,3.0812422536546364,41.541686587018674,85.56591310200747,all_fp,/models/Llama-3.1-8B-Instruct-riveredge-fp-hqq
full_fp,eager,True,3,8,85,32,1,3,768,10.802310877013952,3.600770292337984,71.09589871498827,85.56591310200747,all_fp,/models/Llama-3.1-8B-Instruct-riveredge-fp-hqq
full_fp,eager,True,3,16,85,32,1,3,1536,11.89299755403772,3.9643325180125735,129.15162834440522,85.56591310200747,all_fp,/models/Llama-3.1-8B-Instruct-riveredge-fp-hqq
static_ptq_tail,eager,True,3,1,85,32,1,3,96,4.818571127019823,1.6061903756732743,19.922918531115226,61.95158445206471,"decode_ptq,prefill_fp",/models/Llama-3.1-8B-Instruct-riveredge-fp-hqq
static_ptq_tail,eager,True,3,2,85,32,1,3,192,5.2072442510398105,1.7357480836799368,36.87171001468971,61.95158445206471,"decode_ptq,prefill_fp",/models/Llama-3.1-8B-Instruct-riveredge-fp-hqq
static_ptq_tail,eager,True,3,4,85,32,1,3,384,5.658111160970293,1.8860370536567643,67.86717140674715,61.95158445206471,"decode_ptq,prefill_fp",/models/Llama-3.1-8B-Instruct-riveredge-fp-hqq
static_ptq_tail,eager,True,3,8,85,32,1,3,768,8.376538180978969,2.7921793936596564,91.68465342209466,61.95158445206471,"decode_ptq,prefill_fp",/models/Llama-3.1-8B-Instruct-riveredge-fp-hqq
static_ptq_tail,eager,True,3,16,85,32,1,3,1536,12.602895673946477,4.200965224648826,121.87675275098236,61.95158445206471,"decode_ptq,prefill_fp",/models/Llama-3.1-8B-Instruct-riveredge-fp-hqq
