chunk_index,start_index,end_index,batch_size,input_tokens,output_tokens,latency_s,output_tps,total_token_tps,strict_accuracy,flexible_accuracy,min_output_tokens,max_output_tokens,finish_reasons
0,0,16,16,18691,2346,49.470337123028,47.422357243406736,425.2447269094405,0.6875,0.6875,53,381,"{""stop"": 16}"
1,16,32,16,18527,1923,46.7808114310028,41.10659779461586,437.145046749815,0.8125,0.875,58,358,"{""stop"": 16}"
2,32,48,16,18683,1784,30.544287301017903,58.40699383221645,670.0762011008824,0.8125,0.8125,75,173,"{""stop"": 16}"
3,48,64,16,18604,1605,29.59675739496015,54.22891361312796,682.8112867337712,0.9375,0.9375,57,165,"{""stop"": 16}"
4,64,80,16,18619,1734,30.519059043028392,56.816954859429245,666.8947417842926,0.9375,0.9375,65,174,"{""stop"": 16}"
5,80,96,16,18543,1821,50.040789982071146,36.39031279586986,406.9480119577671,0.875,0.875,55,396,"{""stop"": 16}"
6,96,112,16,18778,2038,60.74473782395944,33.55023123000714,342.6798887555587,0.75,0.75,59,512,"{""length"": 1, ""stop"": 15}"
7,112,128,16,18650,1659,41.90284409909509,39.59158466849335,484.6687721714475,0.8125,0.8125,56,304,"{""stop"": 16}"
8,128,144,16,18509,1886,35.911256438004784,52.51835182252358,567.9277759386895,0.9375,1.0,58,234,"{""stop"": 16}"
9,144,160,16,18924,2081,39.93992865399923,52.10324780566745,525.9148102633565,0.6875,0.6875,56,272,"{""stop"": 16}"
10,160,176,16,18647,2330,60.83238405408338,38.301967549529216,344.83277823453835,0.9375,0.9375,49,512,"{""length"": 1, ""stop"": 15}"
11,176,192,16,18643,2350,60.88485989603214,38.59744448805325,344.79836261178804,0.6875,0.6875,57,512,"{""length"": 1, ""stop"": 15}"
12,192,208,16,18716,1730,29.799005532986484,58.055628671398075,686.1302796620838,0.875,0.875,58,164,"{""stop"": 16}"
13,208,224,16,18526,1925,41.637235624017194,46.23265620663879,491.1709361464778,0.8125,0.8125,63,298,"{""stop"": 16}"
14,224,240,16,18670,1670,31.272603951976635,53.401373373464956,650.409541566633,0.9375,0.9375,54,182,"{""stop"": 16}"
15,240,256,16,18579,1696,29.588916590088047,57.31875970640104,685.2227907118403,0.6875,0.6875,54,163,"{""stop"": 16}"
16,256,272,16,18533,1769,32.06287094892468,55.17285095330268,633.1934539592713,0.9375,0.9375,58,191,"{""stop"": 16}"
17,272,288,16,18607,1994,31.922616284922697,62.46355192828546,645.3418421637958,0.875,0.875,69,186,"{""stop"": 16}"
18,288,304,16,18729,1924,34.518128843046725,55.73882665391254,598.3232780058502,0.75,0.75,71,215,"{""stop"": 16}"
19,304,320,16,18555,1820,33.231529943062924,54.76726479696505,613.1225385923972,0.6875,0.6875,61,203,"{""stop"": 16}"
20,320,336,16,18667,1891,37.321654824889265,50.667635421645876,550.8330243247996,0.75,0.75,59,248,"{""stop"": 16}"
21,336,352,16,18648,1771,28.727509503951296,61.6482260585941,710.7821162565969,0.8125,0.8125,70,152,"{""stop"": 16}"
22,352,368,16,18725,2065,36.20418412901927,57.03760627890549,574.2430191469468,0.875,0.875,50,232,"{""stop"": 16}"
23,368,384,16,18553,1775,35.10870875394903,50.55725667496523,579.0016415147568,0.75,0.75,56,225,"{""stop"": 16}"
24,384,400,16,18540,1606,27.679507241933607,58.02126410570486,727.8308758863824,0.875,0.875,51,143,"{""stop"": 16}"
25,400,416,16,18784,2170,37.275881245033816,58.214586148492586,562.1329208089925,0.8125,0.8125,58,242,"{""stop"": 16}"
26,416,432,16,18829,2023,37.32333953899797,54.20200938574191,558.6852692592636,0.75,0.75,71,244,"{""stop"": 16}"
27,432,448,16,18659,1966,35.188472333946265,55.87056980883489,586.1294518348014,0.8125,0.8125,56,223,"{""stop"": 16}"
28,448,464,16,18602,1749,33.21008316101506,52.664728104418934,612.7958156964149,0.8125,0.8125,53,203,"{""stop"": 16}"
29,464,480,16,18551,1849,30.00620792398695,61.62058213700207,679.8593161681137,1.0,1.0,64,166,"{""stop"": 16}"
30,480,496,16,18540,1482,36.99795907898806,40.05626355864748,541.1649858105532,0.875,0.875,48,250,"{""stop"": 16}"
