chunk_index,start_index,end_index,batch_size,input_tokens,output_tokens,latency_s,output_tps,total_token_tps,strict_accuracy,flexible_accuracy,min_output_tokens,max_output_tokens,finish_reasons
0,0,16,16,18691,2683,43.8657353669405,61.1639125061163,487.2595847580059,0.6875,0.6875,58,512,"{""length"": 2, ""stop"": 14}"
1,16,32,16,18527,2005,31.64227562304586,63.36459564051418,648.8787419905423,0.8125,0.8125,53,221,"{""stop"": 16}"
2,32,48,16,18683,1956,30.547610246110708,64.03119537800951,675.6338657498662,0.8125,0.8125,67,197,"{""stop"": 16}"
3,48,64,16,18604,1810,32.93025643005967,54.964649420336144,619.9162172744432,0.9375,0.9375,58,307,"{""stop"": 16}"
4,64,80,16,18619,1868,31.435625175014138,59.42302688749246,651.7128221863265,0.8125,0.8125,65,246,"{""stop"": 16}"
5,80,96,16,18543,1614,29.793881081975996,54.17219715548908,676.5483135459687,0.9375,0.9375,55,234,"{""stop"": 16}"
6,96,112,16,18778,1993,32.712227118900046,60.925231191260295,634.9613532732903,0.75,0.75,59,273,"{""stop"": 16}"
7,112,128,16,18650,1735,34.02424109703861,50.99305507069811,599.1316585684041,0.8125,0.8125,54,333,"{""stop"": 16}"
8,128,144,16,18509,1917,34.62003680597991,55.372558115503715,590.0051497481893,0.9375,1.0,59,336,"{""stop"": 16}"
9,144,160,16,18924,2187,36.269811406033114,60.298080282717294,582.0543085726771,0.8125,0.8125,61,328,"{""stop"": 16}"
10,160,176,16,18647,2464,43.760643482906744,56.30630182489108,482.4197799615567,0.875,0.875,49,512,"{""length"": 1, ""stop"": 15}"
11,176,192,16,18643,1943,30.986270393943414,62.7051908893101,664.3587543218414,0.8125,0.8125,58,208,"{""stop"": 16}"
12,192,208,16,18716,1743,28.47812280000653,61.204876888851686,718.4111166202047,0.9375,0.9375,55,156,"{""stop"": 16}"
13,208,224,16,18526,1872,31.684649721020833,59.08223750247244,643.7817738116629,0.9375,0.9375,55,258,"{""stop"": 16}"
14,224,240,16,18670,1703,28.454376079957,59.85019651158605,715.9882874518747,0.9375,0.9375,53,191,"{""stop"": 16}"
15,240,256,16,18579,1715,27.84722034900915,61.586039055457206,728.7621437851011,0.75,0.75,54,165,"{""stop"": 16}"
16,256,272,16,18533,1778,28.816238339990377,61.70132197763442,704.8456415566551,0.8125,0.8125,58,172,"{""stop"": 16}"
17,272,288,16,18607,2012,31.101333000930026,64.69176095892207,662.9619379781384,0.875,0.875,56,207,"{""stop"": 16}"
18,288,304,16,18729,1856,29.753367188037373,62.37949433656782,691.8544670895735,0.8125,0.8125,60,192,"{""stop"": 16}"
19,304,320,16,18555,1845,29.129411961999722,63.338044805259486,700.3230970337634,0.8125,0.8125,61,181,"{""stop"": 16}"
20,320,336,16,18667,1848,32.102740584057756,57.56517874731599,639.0420140699067,0.75,0.75,59,260,"{""stop"": 16}"
21,336,352,16,18648,1733,27.995755762094632,61.902240279807955,728.003207814637,0.8125,0.8125,65,160,"{""stop"": 16}"
22,352,368,16,18725,2037,31.78464865894057,64.08754181484466,653.2084158860113,0.6875,0.6875,52,205,"{""stop"": 16}"
23,368,384,16,18553,1805,30.163245941046625,59.84103977164232,674.9273615906341,0.8125,0.8125,54,226,"{""stop"": 16}"
24,384,400,16,18540,1597,26.553339117905125,60.14309510788157,758.3603670553607,0.9375,0.9375,50,143,"{""stop"": 16}"
25,400,416,16,18784,2310,35.27024096495006,65.49430729139536,598.0679298721617,0.875,0.875,58,289,"{""stop"": 16}"
26,416,432,16,18829,2160,33.78720640495885,63.92952332640863,621.2114653231439,0.8125,0.8125,66,263,"{""stop"": 16}"
27,432,448,16,18659,2043,32.376369250938296,63.1015783198356,639.4169722845015,0.8125,0.875,75,249,"{""stop"": 16}"
28,448,464,16,18602,1745,30.17862009909004,57.8223919539852,674.2190309958378,0.75,0.75,50,219,"{""stop"": 16}"
29,464,480,16,18551,1779,29.040458419010974,61.25936355176128,700.0578195656587,0.875,0.875,64,189,"{""stop"": 16}"
30,480,496,16,18540,1389,26.762214825022966,51.90153390074687,744.6693082130918,0.875,0.875,53,190,"{""stop"": 16}"
31,496,512,16,18656,2044,31.645859187934548,64.5898089813692,654.1140146351969,0.6875,0.6875,58,223,"{""stop"": 16}"
32,512,528,16,18598,1712,28.10178880498279,60.92138873723375,722.7297927880943,0.875,0.875,65,161,"{""stop"": 16}"
