Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
98.0,2669813024,65,41074046.5,30304.0,7392,95932864,42058886.1,cudaEventSynchronize
0.8,22007296,31,709912.8,679168.0,641152,886400,62462.4,cudaGraphLaunch_v10000
0.7,18296992,803,22785.8,21856.0,13440,69024,5261.1,cudaLaunchKernel
0.3,8405120,354,23743.3,21104.0,12192,69568,8413.7,cudaMemcpyAsync
0.0,1024832,64,16013.0,15456.0,13696,29184,2806.1,cudaMemsetAsync
0.0,714528,388,1841.6,1824.0,576,14752,913.0,cudaStreamIsCapturing_v10000
0.0,709344,803,883.4,832.0,352,3584,301.5,cuKernelGetName
0.0,670624,32,20957.0,21088.0,18656,22592,895.9,cuLaunchKernelEx
0.0,483744,66,7329.5,6640.0,5216,19264,2332.3,cudaEventRecordWithFlags_v11010
0.0,410080,65,6308.9,7648.0,3552,11200,2410.8,cudaEventRecord
0.0,330432,64,5163.0,4784.0,2368,21216,2893.2,cudaEventCreateWithFlags
0.0,311104,65,4786.2,4224.0,1664,9952,2603.5,cudaEventQuery
0.0,270144,64,4221.0,4192.0,1856,11872,2076.6,cudaEventDestroy
0.0,215584,32,6737.0,6288.0,5024,19616,2483.2,cudaStreamWaitEvent
0.0,74752,1,74752.0,74752.0,74752,74752,0.0,cudaDeviceSynchronize
0.0,15104,1,15104.0,15104.0,15104,15104,0.0,cuProfilerStart
