Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
95.0,1123697440,65,17287652.9,25504.0,7232,88612224,18952816.5,cudaEventSynchronize
2.3,27514016,31,887548.9,834656.0,773248,1311648,112327.1,cudaGraphLaunch_v10000
1.5,18133312,803,22582.0,22112.0,12768,64640,4515.1,cudaLaunchKernel
0.7,8098848,354,22878.1,19888.0,12864,64608,7448.4,cudaMemcpyAsync
0.1,993216,64,15519.0,15264.0,14176,29984,1923.9,cudaMemsetAsync
0.1,699904,388,1803.9,1856.0,640,7168,546.3,cudaStreamIsCapturing_v10000
0.1,678240,32,21195.0,21056.0,19104,23296,828.1,cuLaunchKernelEx
0.1,667520,803,831.3,800.0,352,2272,236.6,cuKernelGetName
0.0,429088,66,6501.3,6000.0,4352,19488,2413.9,cudaEventRecordWithFlags_v11010
0.0,399200,65,6141.5,7296.0,3488,9600,2213.8,cudaEventRecord
0.0,312384,65,4805.9,5952.0,1792,16832,2824.7,cudaEventQuery
0.0,290528,64,4539.5,4560.0,2528,8064,1556.3,cudaEventCreateWithFlags
0.0,223936,64,3499.0,3712.0,1696,9472,1352.4,cudaEventDestroy
0.0,190912,32,5966.0,5792.0,4640,9536,922.5,cudaStreamWaitEvent
0.0,68480,1,68480.0,68480.0,68480,68480,0.0,cudaDeviceSynchronize
0.0,16640,1,16640.0,16640.0,16640,16640,0.0,cuProfilerStart
