Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:single_request.static_ptq_tail.eager,PushPop,2190855552,2193903328,1,2190855552.0,2190855552.0,2190855552,2190855552,0.0,15854,15854.0,0.0,1024.0
:layer.03.fp.total,PushPop,91934784,48595264,32,2872962.0,2599120.0,2582080,8972288,1120795.2,353,11.0,1.0,4.0
:layer.02.fp.total,PushPop,91318496,48620320,32,2853703.0,2598080.0,2579200,8598560,1056064.5,353,11.0,1.0,4.0
:layer.01.fp.total,PushPop,90431840,56631616,32,2825995.0,2596176.0,2579328,7803328,916704.1,353,11.0,1.0,4.0
:layer.03.fp.mlp,PushPop,72373088,11299264,32,2261659.0,2039648.0,2032224,7273024,919728.8,97,3.0,2.0,0.0
:layer.02.fp.mlp,PushPop,71895808,11364064,32,2246744.0,2041152.0,2031104,6980384,868909.7,97,3.0,2.0,0.0
:layer.01.fp.mlp,PushPop,70773280,11698624,32,2211665.0,2039344.0,2031648,5898336,679136.6,97,3.0,2.0,0.0
:layer.18.ptq.total,PushPop,60465120,61937248,31,1950487.7,2005952.0,878368,2321088,292655.0,465,15.0,1.0,4.0
:layer.15.ptq.total,PushPop,60441120,61925344,31,1949713.5,2020672.0,886720,2081024,285277.0,465,15.0,1.0,4.0
:layer.16.ptq.total,PushPop,60439968,61691008,31,1949676.4,2020832.0,899040,2084096,281305.9,465,15.0,1.0,4.0
:layer.25.ptq.total,PushPop,60369600,61243296,31,1947406.5,2011648.0,892800,2066560,282118.2,465,15.0,1.0,4.0
:layer.13.ptq.total,PushPop,60368384,62046912,31,1947367.2,2012032.0,880576,2098208,286110.8,465,15.0,1.0,4.0
:layer.20.ptq.total,PushPop,60270336,61736928,31,1944204.4,2005280.0,881344,2239648,287609.0,465,15.0,1.0,4.0
:layer.11.ptq.total,PushPop,60198464,62531136,31,1941885.9,2036864.0,893600,2243008,334880.6,465,15.0,1.0,4.0
:layer.14.ptq.total,PushPop,60155904,61984000,31,1940513.0,2017152.0,880288,2074336,284724.7,465,15.0,1.0,4.0
:layer.12.ptq.total,PushPop,60127264,62096832,31,1939589.2,2013440.0,886144,2074368,283274.2,465,15.0,1.0,4.0
:layer.19.ptq.total,PushPop,60040672,61655904,31,1936795.9,2010272.0,873792,2061888,284022.8,465,15.0,1.0,4.0
:layer.23.ptq.total,PushPop,60040544,61350592,31,1936791.7,2003648.0,877504,2090496,283812.3,465,15.0,1.0,4.0
:layer.28.ptq.total,PushPop,59839776,61127776,31,1930315.4,1997920.0,877216,2065984,282550.7,465,15.0,1.0,4.0
:layer.21.ptq.total,PushPop,59836672,61406144,31,1930215.2,1999872.0,872960,2056128,282689.0,465,15.0,1.0,4.0
:layer.22.ptq.total,PushPop,59829312,61413440,31,1929977.8,2002944.0,872704,2040000,282544.4,465,15.0,1.0,4.0
:layer.27.ptq.total,PushPop,59817088,61149952,31,1929583.5,1998912.0,876320,2048576,281429.6,465,15.0,1.0,4.0
:layer.29.ptq.total,PushPop,59769664,61034624,31,1928053.7,1993312.0,882048,2064000,279916.7,465,15.0,1.0,4.0
:layer.24.ptq.total,PushPop,59731936,61299776,31,1926836.6,1996256.0,875648,2042112,280749.0,465,15.0,1.0,4.0
:layer.30.ptq.total,PushPop,59635744,61041824,31,1923733.7,1988384.0,883168,2052672,278856.4,465,15.0,1.0,4.0
:layer.32.ptq.total,PushPop,59567072,60944832,31,1921518.5,1985152.0,885600,2038688,276672.3,465,15.0,1.0,4.0
:layer.17.ptq.total,PushPop,59566048,61675552,31,1921485.4,1992640.0,879776,2026304,278367.5,465,15.0,1.0,4.0
:layer.31.ptq.total,PushPop,59531392,60975168,31,1920367.5,1983520.0,880544,2040320,278202.4,465,15.0,1.0,4.0
:layer.26.ptq.total,PushPop,59360480,61327008,31,1914854.2,1973888.0,873216,2212928,281571.6,465,15.0,1.0,4.0
:layer.10.ptq.total,PushPop,55796128,62355360,31,1799875.1,2017088.0,879136,2106784,391405.8,465,15.0,1.0,4.0
:layer.09.ptq.total,PushPop,53312992,62554880,31,1719773.9,2030016.0,886528,2271552,471725.9,465,15.0,1.0,4.0
:layer.08.ptq.total,PushPop,51706688,62467296,31,1667957.7,1976768.0,877632,2061024,449867.1,465,15.0,1.0,4.0
:layer.07.ptq.total,PushPop,36145344,62575136,31,1165978.8,1181440.0,890400,1615168,151387.1,465,15.0,1.0,4.0
:layer.06.ptq.total,PushPop,31351872,62559712,31,1011350.7,958432.0,899360,1197568,119275.9,465,15.0,1.0,4.0
:layer.04.ptq.total,PushPop,31191584,64719712,31,1006180.1,944032.0,897728,1190688,119451.1,465,15.0,1.0,4.0
:layer.05.ptq.total,PushPop,31188128,63024832,31,1006068.6,951424.0,892864,1190656,120938.6,465,15.0,1.0,4.0
:layer.18.ptq.attention,PushPop,28885504,35286720,31,931790.5,1004800.0,209344,1061664,203422.0,248,8.0,2.0,0.0
:layer.15.ptq.attention,PushPop,28782464,35512352,31,928466.6,1007168.0,207744,1062368,204687.9,248,8.0,2.0,0.0
:layer.19.ptq.attention,PushPop,28747584,35335904,31,927341.4,1007072.0,207328,1034496,203694.1,248,8.0,2.0,0.0
:layer.20.ptq.attention,PushPop,28727712,35177120,31,926700.4,1003808.0,211040,1049152,203100.6,248,8.0,2.0,0.0
:layer.16.ptq.attention,PushPop,28652544,35329600,31,924275.6,1001920.0,208768,1069824,202208.7,248,8.0,2.0,0.0
:layer.23.ptq.attention,PushPop,28647072,35223136,31,924099.1,1000608.0,208640,1067392,202188.7,248,8.0,2.0,0.0
:layer.17.ptq.attention,PushPop,28570784,35382400,31,921638.2,999520.0,210080,1042720,202236.4,248,8.0,2.0,0.0
:layer.21.ptq.attention,PushPop,28560096,35219104,31,921293.4,1002656.0,206016,1046816,202606.9,248,8.0,2.0,0.0
:layer.14.ptq.attention,PushPop,28549344,35538176,31,920946.6,1001152.0,205664,1046016,202025.8,248,8.0,2.0,0.0
:layer.22.ptq.attention,PushPop,28531520,35092480,31,920371.6,1001760.0,207552,1031328,202183.0,248,8.0,2.0,0.0
:layer.13.ptq.attention,PushPop,28474272,35555296,31,918524.9,999616.0,208160,1043008,201738.9,248,8.0,2.0,0.0
:layer.25.ptq.attention,PushPop,28441216,35130816,31,917458.6,987552.0,206496,1044800,200865.1,248,8.0,2.0,0.0
:layer.24.ptq.attention,PushPop,28419392,35043872,31,916754.6,1002304.0,206400,1043232,201728.2,248,8.0,2.0,0.0
:layer.27.ptq.attention,PushPop,28336864,35071136,31,914092.4,994272.0,206464,1026304,200066.3,248,8.0,2.0,0.0
:layer.28.ptq.attention,PushPop,28274304,35072448,31,912074.3,993600.0,205376,1029728,201919.3,248,8.0,2.0,0.0
:layer.12.ptq.attention,PushPop,28232416,35590976,31,910723.1,956512.0,207936,1073664,206097.5,248,8.0,2.0,0.0
:layer.29.ptq.attention,PushPop,28048416,35034272,31,904787.6,986144.0,206016,1054848,201386.1,248,8.0,2.0,0.0
:layer.26.ptq.attention,PushPop,27975552,34910752,31,902437.2,976192.0,207360,1036544,199407.4,248,8.0,2.0,0.0
:layer.31.ptq.attention,PushPop,27868736,34985824,31,898991.5,977952.0,204672,1033056,198901.4,248,8.0,2.0,0.0
:layer.30.ptq.attention,PushPop,27841312,34977440,31,898106.8,977248.0,206528,1046720,200157.4,248,8.0,2.0,0.0
:layer.32.ptq.attention,PushPop,27754368,34943552,31,895302.2,987616.0,207744,1040576,200503.3,248,8.0,2.0,0.0
