NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:layer.01.fp.attention,PushPop,2042,2042,31,62,15989152,257889.5,262432.0,201088,335264,50915.0,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
:layer.01.fp.attention,PushPop,2042,2042,1,2,1185952,592976.0,592976.0,517376,668576,106914.5,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_32x5_tn
:layer.01.fp.attention,PushPop,2042,2042,31,31,427616,13794.1,12736.0,11840,17056,1873.0,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(flash::Flash_fwd_params)"
:layer.01.fp.attention,PushPop,2042,2042,32,32,344736,10773.0,9520.0,8736,37856,5048.8,"void vllm::rotary_embedding_kernel<c10::BFloat16, c10::BFloat16, (bool)1>(const long *, T1 *, T1 *, const T2 *, int, long, long, long, int, int, int, long, bool)"
:layer.01.fp.attention,PushPop,2042,2042,32,32,233760,7305.0,6544.0,5600,20960,2639.7,"void vllm::reshape_and_cache_flash_kernel<__nv_bfloat16, __nv_bfloat16, (vllm::Fp8KVCacheDataType)0>(const T1 *, const T1 *, T2 *, T2 *, const long *, long, long, long, long, long, int, int, int, const float *, const float *, int)"
:layer.01.fp.attention,PushPop,2042,2042,1,1,64864,64864.0,64864.0,64864,64864,0.0,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(flash::Flash_fwd_params)"
:layer.01.fp.input_norm,PushPop,2042,2042,32,32,167616,5238.0,4464.0,4064,19392,2662.9,"void vllm::rms_norm_kernel<c10::BFloat16, (int)8, (int)2, (bool)1>(T1 *, const T1 *, long, long, long, long, long, const T1 *, float, int, int)"
:layer.01.fp.mlp,PushPop,2042,2042,31,62,64501760,1040351.0,1051776.0,703680,1472320,321271.1,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
:layer.01.fp.mlp,PushPop,2042,2042,1,2,5805280,2902640.0,2902640.0,2887200,2918080,21835.5,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_32x5_tn
:layer.01.fp.mlp,PushPop,2042,2042,32,32,365056,11408.0,8608.0,7648,85472,13569.5,"void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bfloat162, &vllm::silu_kernel<c10::BFloat16>, &vllm::packed_silu_kernel<__nv_bfloat162>, (bool)1, (bool)1, (bool)0, (bool)0>(T1 *, const T1 *, int, float, float, float)"
