phase,layer,path,component,kernel_category,total_kernel_time_ms,range_instances,per_iteration_kernel_ms,kernel_instances
decode,1,fp,attention,attention,0.427616,31.0,0.013794064516129032,31.0
decode,1,fp,attention,bf16_gemm,15.989152,31.0,0.5157790967741935,62.0
decode,1,fp,attention,kv_cache,0.226455,31.0,0.007305,31.0
decode,1,fp,attention,rope,0.333963,31.0,0.010773,31.0
decode,1,fp,input_norm,normalization,0.162378,31.0,0.005238,31.0
decode,1,fp,mlp,activation,0.353648,31.0,0.011408,31.0
decode,1,fp,mlp,bf16_gemm,64.50176,31.0,2.080701935483871,62.0
decode,1,fp,post_attn_norm,normalization,0.242916,31.0,0.007836,31.0
decode,1,fp,total,activation,0.353648,31.0,0.011408,31.0
decode,1,fp,total,attention,0.427616,31.0,0.013794064516129032,31.0
decode,1,fp,total,bf16_gemm,80.490912,31.0,2.5964810322580645,124.0
decode,1,fp,total,kv_cache,0.226455,31.0,0.007305,31.0
decode,1,fp,total,normalization,0.405294,31.0,0.013074,62.0
decode,1,fp,total,rope,0.333963,31.0,0.010773,31.0
decode,2,fp,attention,attention,0.391776,31.0,0.012637935483870967,31.0
decode,2,fp,attention,bf16_gemm,16.02464,31.0,0.516923870967742,62.0
decode,2,fp,attention,kv_cache,0.213311,31.0,0.006881,31.0
decode,2,fp,attention,rope,0.332785,31.0,0.010735,31.0
decode,2,fp,input_norm,normalization,0.251751,31.0,0.008121,31.0
decode,2,fp,mlp,activation,0.358329,31.0,0.011559,31.0
decode,2,fp,mlp,bf16_gemm,64.545248,31.0,2.0821047741935486,62.0
decode,2,fp,post_attn_norm,normalization,0.250294,31.0,0.008074,31.0
decode,2,fp,total,activation,0.358329,31.0,0.011559,31.0
decode,2,fp,total,attention,0.391776,31.0,0.012637935483870967,31.0
decode,2,fp,total,bf16_gemm,80.569888,31.0,2.5990286451612903,124.0
decode,2,fp,total,kv_cache,0.213311,31.0,0.006881,31.0
decode,2,fp,total,normalization,0.502045,31.0,0.016195,62.0
decode,2,fp,total,rope,0.332785,31.0,0.010735,31.0
decode,3,fp,attention,attention,0.416352,31.0,0.013430709677419354,31.0
decode,3,fp,attention,bf16_gemm,16.0552,31.0,0.5179096774193549,62.0
decode,3,fp,attention,kv_cache,0.215915,31.0,0.006965,31.0
decode,3,fp,attention,rope,0.352842,31.0,0.011382,31.0
decode,3,fp,input_norm,normalization,0.262632,31.0,0.008472,31.0
decode,3,fp,mlp,activation,0.376836,31.0,0.012156,31.0
decode,3,fp,mlp,bf16_gemm,64.719968,31.0,2.0877409032258067,62.0
decode,3,fp,post_attn_norm,normalization,0.239134,31.0,0.007714,31.0
decode,3,fp,total,activation,0.376836,31.0,0.012156,31.0
decode,3,fp,total,attention,0.416352,31.0,0.013430709677419354,31.0
decode,3,fp,total,bf16_gemm,80.775168,31.0,2.605650580645161,124.0
decode,3,fp,total,kv_cache,0.215915,31.0,0.006965,31.0
decode,3,fp,total,normalization,0.501766,31.0,0.016186,62.0
decode,3,fp,total,rope,0.352842,31.0,0.011382,31.0
decode,4,fp,input_norm,normalization,0.261764,31.0,0.008444,31.0
decode,4,fp,post_attn_norm,normalization,0.238173,31.0,0.007683,31.0
decode,4,ptq,attention,attention,0.424096,31.0,0.013680516129032257,31.0
decode,4,ptq,attention,int4_weight_only_gemm,5.91136,31.0,0.19068903225806452,62.0
decode,4,ptq,attention,kv_cache,0.1992,31.0,0.006425806451612903,31.0
decode,4,ptq,attention,rope,0.316288,31.0,0.010202838709677418,31.0
decode,4,ptq,mlp,activation,0.2768,31.0,0.008929032258064518,31.0
decode,4,ptq,mlp,int4_weight_only_gemm,22.490016,31.0,0.7254843870967742,62.0
decode,4,ptq,total,activation,0.2768,31.0,0.008929032258064518,31.0
decode,4,ptq,total,attention,0.424096,31.0,0.013680516129032257,31.0
decode,4,ptq,total,int4_weight_only_gemm,28.401376,31.0,0.9161734193548386,124.0
decode,4,ptq,total,kv_cache,0.1992,31.0,0.006425806451612903,31.0
decode,4,ptq,total,normalization,0.414816,31.0,0.013381161290322581,62.0
decode,4,ptq,total,rope,0.316288,31.0,0.010202838709677418,31.0
decode,5,fp,input_norm,normalization,0.237336,31.0,0.007656,31.0
decode,5,fp,post_attn_norm,normalization,0.219263,31.0,0.007073,31.0
decode,5,ptq,attention,attention,0.400672,31.0,0.012924903225806451,31.0
decode,5,ptq,attention,int4_weight_only_gemm,5.85408,31.0,0.18884129032258062,62.0
decode,5,ptq,attention,kv_cache,0.201056,31.0,0.006485677419354839,31.0
decode,5,ptq,attention,rope,0.272384,31.0,0.00878658064516129,31.0
decode,5,ptq,mlp,activation,0.278848,31.0,0.008995096774193549,31.0
decode,5,ptq,mlp,int4_weight_only_gemm,22.620672,31.0,0.7296990967741935,62.0
decode,5,ptq,total,activation,0.278848,31.0,0.008995096774193549,31.0
decode,5,ptq,total,attention,0.400672,31.0,0.012924903225806451,31.0
decode,5,ptq,total,int4_weight_only_gemm,28.474752,31.0,0.9185403870967742,124.0
decode,5,ptq,total,kv_cache,0.201056,31.0,0.006485677419354839,31.0
decode,5,ptq,total,normalization,0.40032,31.0,0.012913548387096775,62.0
