profile,mode,execution_mode,detail,event_type,phase,stage,count,total_ms,mean_ms,median_ms,p90_ms,p99_ms,min_ms,max_ms
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,decode,cpu.engine.process_aborts,31,0.261128,0.008423483870967741,0.007585,0.012478,0.0163244,0.005599,0.01667
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,decode,cpu.executor.sample_and_sync,31,24.287872,0.7834797419354839,0.766524,0.860012,0.9383050999999999,0.723024,0.943421
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,decode,cpu.executor.submit_model,31,85.704167,2.7646505483870967,2.600843,3.284584,4.195439899999999,2.437082,4.5071
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,decode,cpu.output.process_and_detokenize,31,2.038365,0.06575370967741935,0.062847,0.076627,0.13520779999999993,0.04876,0.159683
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,decode,cpu.output.wait_gpu_to_cpu,31,2587.413186,83.46494148387097,84.038131,84.325921,84.61623829999999,70.977681,84.73379
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,decode,cpu.runner.select_execution_shape,31,1.5444309999999999,0.049820354838709675,0.048728,0.064661,0.066817,0.037497,0.06733
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,decode,cpu.runner.update_states,31,1.342401,0.04330325806451613,0.042009,0.053153,0.07788729999999998,0.032026,0.087121
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,decode,cpu.scheduler.grammar_mask,31,0.101366,0.0032698709677419354,0.003232,0.003712,0.0039296,0.002624,0.003968
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,decode,cpu.scheduler.update_output,31,1.49473,0.04821709677419355,0.044376,0.067668,0.07913219999999999,0.032347,0.081522
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,decode,gpu.compute_logits,31,7.985656,0.2576018064516129,0.252213,0.29918,0.3128231,0.216037,0.315338
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,decode,gpu.model_forward,31,4.336803,0.13989687096774195,0.13844,0.160228,0.1654785,0.120555,0.166371
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,decode,gpu.sample_postprocess,31,1.708416,0.055110193548387094,0.054487,0.05935,0.0609792,0.0512,0.061056
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,decode,gpu.sampler,31,12.494836,0.4030592258064516,0.400091,0.434933,0.4701237,0.37284,0.47691
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,decode,runtime.prepare_attn_metadata,31,7.2467,0.23376451612903226,0.226361,0.258323,0.2871601,0.212891,0.295693
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,decode,runtime.prepare_inputs,31,48.110365,1.5519472580645162,1.451253,1.80372,2.742037299999999,1.319836,3.074407
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,decode,runtime.preprocess_model_inputs,31,0.915049,0.029517709677419356,0.028448,0.033274,0.0368605,0.02544,0.037273
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,decode,runtime.slot_mappings,31,1.54034,0.04968838709677419,0.04844,0.054785,0.058406,0.045848,0.058838
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,drain,cpu.engine.process_aborts,1,0.011134,0.011134,0.011134,0.011134,0.011134,0.011134,0.011134
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,drain,cpu.executor.submit_model,1,0.504745,0.504745,0.504745,0.504745,0.504745,0.504745,0.504745
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,drain,cpu.output.process_and_detokenize,1,0.082834,0.082834,0.082834,0.082834,0.082834,0.082834,0.082834
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,drain,cpu.output.wait_gpu_to_cpu,1,86.904991,86.904991,86.904991,86.904991,86.904991,86.904991,86.904991
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,drain,cpu.runner.update_states,1,0.366784,0.366784,0.366784,0.366784,0.366784,0.366784,0.366784
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,drain,cpu.scheduler.update_output,1,0.13812,0.13812,0.13812,0.13812,0.13812,0.13812,0.13812
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,prefill,cpu.engine.process_aborts,1,0.00944,0.00944,0.00944,0.00944,0.00944,0.00944,0.00944
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,prefill,cpu.executor.sample_and_sync,1,0.937525,0.937525,0.937525,0.937525,0.937525,0.937525,0.937525
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,prefill,cpu.executor.submit_model,1,38.752467,38.752467,38.752467,38.752467,38.752467,38.752467,38.752467
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,prefill,cpu.output.process_and_detokenize,1,0.008032,0.008032,0.008032,0.008032,0.008032,0.008032,0.008032
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,prefill,cpu.runner.select_execution_shape,1,0.039393,0.039393,0.039393,0.039393,0.039393,0.039393,0.039393
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,prefill,cpu.runner.update_states,1,0.573229,0.573229,0.573229,0.573229,0.573229,0.573229,0.573229
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,prefill,cpu.scheduler.grammar_mask,1,0.004224,0.004224,0.004224,0.004224,0.004224,0.004224,0.004224
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,prefill,cpu.scheduler.update_output,1,0.017985,0.017985,0.017985,0.017985,0.017985,0.017985,0.017985
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,prefill,gpu.compute_logits,1,0.225957,0.225957,0.225957,0.225957,0.225957,0.225957,0.225957
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,prefill,gpu.model_forward,1,35.458088,35.458088,35.458088,35.458088,35.458088,35.458088,35.458088
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,prefill,gpu.sample_postprocess,1,0.053985,0.053985,0.053985,0.053985,0.053985,0.053985,0.053985
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,prefill,gpu.sampler,1,0.433226,0.433226,0.433226,0.433226,0.433226,0.433226,0.433226
full_fp_cudagraph,full_fp,cudagraph,runtime,cpu,prefill,runtime.prepare_attn_metadata,1,0.268326,0.268326,0.268326,0.268326,0.268326,0.268326,0.268326
