profile,source,request_index,token_index,arrival_ms,inter_token_ms,token_id
full_fp_cudagraph,baseline,0,1,115.299717,,578
full_fp_cudagraph,baseline,0,2,203.04367,87.74395299999999,4062
full_fp_cudagraph,baseline,0,3,290.941547,87.89787700000002,14198
full_fp_cudagraph,baseline,0,4,378.729693,87.78814599999998,39935
full_fp_cudagraph,baseline,0,5,466.525711,87.796018,35308
full_fp_cudagraph,baseline,0,6,554.527973,88.00226199999997,927
full_fp_cudagraph,baseline,0,7,642.383993,87.85602000000006,279
full_fp_cudagraph,baseline,0,8,731.360869,88.97687599999995,16053
full_fp_cudagraph,baseline,0,9,818.983251,87.62238200000002,5679
full_fp_cudagraph,baseline,0,10,906.766021,87.78277000000003,3221
full_fp_cudagraph,baseline,0,11,994.58588,87.81985899999995,279
full_fp_cudagraph,baseline,0,12,1082.381161,87.79528100000005,15140
full_fp_cudagraph,baseline,0,13,1170.29379,87.91262899999992,6964
full_fp_cudagraph,baseline,0,14,1257.958605,87.66481500000009,13
full_fp_cudagraph,baseline,0,15,1345.886242,87.927637,578
full_fp_cudagraph,baseline,0,16,1433.587762,87.70152000000007,4062
full_fp_cudagraph,baseline,0,17,1521.42186,87.83409799999981,14198
full_fp_cudagraph,baseline,0,18,1609.210678,87.78881799999999,39935
full_fp_cudagraph,baseline,0,19,1697.033064,87.82238600000005,35308
full_fp_cudagraph,baseline,0,20,1784.91718,87.88411599999995,927
full_fp_cudagraph,baseline,0,21,1872.716206,87.79902600000014,279
full_fp_cudagraph,baseline,0,22,1960.547008,87.83080199999995,16053
full_fp_cudagraph,baseline,0,23,2048.41746,87.87045200000011,5679
full_fp_cudagraph,baseline,0,24,2136.278247,87.86078700000007,3221
full_fp_cudagraph,baseline,0,25,2224.083449,87.80520200000001,279
full_fp_cudagraph,baseline,0,26,2311.911404,87.82795499999975,15140
full_fp_cudagraph,baseline,0,27,2399.745758,87.83435400000008,6964
full_fp_cudagraph,baseline,0,28,2487.555792,87.81003400000009,13
full_fp_cudagraph,baseline,0,29,2575.422628,87.8668359999997,578
full_fp_cudagraph,baseline,0,30,2663.197589,87.77496100000008,4062
full_fp_cudagraph,baseline,0,31,2751.164234,87.96664499999997,14198
full_fp_cudagraph,baseline,0,32,2838.925243,87.76100900000029,39935
full_fp_cudagraph,baseline,1,1,115.227363,,578
full_fp_cudagraph,baseline,1,2,202.98082,87.753457,4062
full_fp_cudagraph,baseline,1,3,290.743557,87.76273700000002,14198
full_fp_cudagraph,baseline,1,4,378.559543,87.81598600000001,39935
full_fp_cudagraph,baseline,1,5,466.381129,87.82158599999997,35308
full_fp_cudagraph,baseline,1,6,554.207995,87.826866,927
full_fp_cudagraph,baseline,1,7,641.993037,87.78504199999998,279
full_fp_cudagraph,baseline,1,8,729.835519,87.84248200000002,16053
full_fp_cudagraph,baseline,1,9,817.612624,87.777105,5679
full_fp_cudagraph,baseline,1,10,905.441218,87.82859400000007,3221
full_fp_cudagraph,baseline,1,11,993.242484,87.80126599999994,279
full_fp_cudagraph,baseline,1,12,1081.06775,87.82526599999994,15140
full_fp_cudagraph,baseline,1,13,1169.010107,87.94235700000013,6964
full_fp_cudagraph,baseline,1,14,1256.755467,87.74535999999989,13
full_fp_cudagraph,baseline,1,15,1344.550301,87.79483400000004,578
full_fp_cudagraph,baseline,1,16,1432.364623,87.81432199999995,4062
full_fp_cudagraph,baseline,1,17,1520.309219,87.94459600000005,14198
full_fp_cudagraph,baseline,1,18,1607.968018,87.65879900000004,39935
full_fp_cudagraph,baseline,1,19,1695.733762,87.76574400000004,35308
